ub_dot,vb_dot,wb_dot,pb_dot,qb_dot,rb_dot,latitude_dot,longitude_dot,altitude_dot,phi_dot,theta_dot,psi_dot
5.39759439298698e-05,4.13213906391087e-05,-0.000749111256620585,9.98177719699606e-07,3.18694663546973e-05,1.30864016553007e-06,-8.24562896157976e-06,2.14081607818628e-11,-8.21090863750701,9.71085468550417e-06,-7.0069546864556e-06,-9.52540267594835e-06
5.40042468016847e-05,4.16593797001332e-05,-0.000749522175428995,1.00673530004588e-06,3.2774761692877e-05,1.35963343425791e-06,-8.24562897708483e-06,2.19167733398887e-11,-8.21091085950383,9.71586811191325e-06,-6.84533532821415e-06,-9.51873038014871e-06
5.39701135219111e-05,4.19540956879253e-05,-0.000749193850673574,1.01347001537708e-06,3.36599377014274e-05,1.410402696109e-06,-8.24562899291104e-06,2.24249476423649e-11,-8.21091294009516,9.72091974884383e-06,-6.67923939601039e-06,-9.51180358320092e-06
5.38746428204181e-05,4.22058313711499e-05,-0.000748154890777523,1.01841512243208e-06,3.45240363042388e-05,1.4608817376027e-06,-8.24562900905226e-06,2.29326835838405e-11,-8.21091487909223,9.72600056223008e-06,-6.50876991383794e-06,-9.50462357197062e-06
5.37189488724405e-05,4.24149340921786e-05,-0.000746434200593712,1.02161025604963e-06,3.5366176511716e-05,1.5110061708161e-06,-8.24562902550244e-06,2.34399810184009e-11,-8.21091667625322,9.73110170041338e-06,-6.33403450285863e-06,-9.49719195990558e-06
5.35041585709252e-05,4.25818043149531e-05,-0.000744060914210245,1.02310099953373e-06,3.61855532076599e-05,1.56071347242979e-06,-8.24562904225559e-06,2.39468397577554e-11,-8.21091833128579,9.73621452496115e-06,-6.15514499894703e-06,-9.48951067781546e-06
5.32314088778225e-05,4.27068941210164e-05,-0.000741064329621542,1.02293846354191e-06,3.69814358310756e-05,1.60994300744327e-06,-8.24562905930574e-06,2.44532595698488e-11,-8.21091984384954,9.74133063936337e-06,-5.97221707658016e-06,-9.48158196448875e-06
5.29018442703614e-05,4.27907056870034e-05,-0.000737473845803647,1.02117885883099e-06,3.77531669798756e-05,1.65863605942411e-06,-8.245629076647e-06,2.49592401826344e-11,-8.2109212135585,9.74644191559207e-06,-5.78536987951071e-06,-9.47340835715507e-06
5.2516614248189e-05,4.28337897239535e-05,-0.000733318901656801,1.01788307875607e-06,3.85001609098927e-05,1.70673585547062e-06,-8.24562909427348e-06,2.5464781288379e-11,-8.21092243998362,9.75154051855207e-06,-5.59472565869146e-06,-9.46499268184379e-06
5.20768709486221e-05,4.28367438912967e-05,-0.00072862891757076,1.01311629230174e-06,3.92219019581931e-05,1.75418758651887e-06,-8.24562911217935e-06,2.59698825392302e-11,-8.21092352265525,9.75661892847941e-06,-5.40040941790653e-06,-9.45633804360031e-06
5.15837668306027e-05,4.2800211183372e-05,-0.000723433238928837,1.00694754110316e-06,3.99179428910618e-05,1.80093842912721e-06,-8.24562913035878e-06,2.64745435433209e-11,-8.21092446106556,9.76166996130835e-06,-5.20254856745886e-06,-9.4474478166107e-06
5.10384524452957e-05,4.27248782974641e-05,-0.000717761081963198,9.99449333246312e-07,4.05879031750782e-05,1.8469375622151e-06,-8.24562914880599e-06,2.69787638845954e-11,-8.21092525467104,9.76668678701865e-06,-5.00127258630922e-06,-9.43832563422835e-06
5.04420743163423e-05,4.26114739688354e-05,-0.000711641482064315,9.90697267099189e-07,4.12314671996467e-05,1.89213618322057e-06,-8.24562916751521e-06,2.74825431060883e-11,-8.21092590289484,9.77166294602797e-06,-4.79671269301108e-06,-9.42897537891762e-06
4.97957728690487e-05,4.24607673026173e-05,-0.000705103244210118,9.80769640332229e-07,4.18483824222195e-05,1.93648751730945e-06,-8.24562918648067e-06,2.79858807122926e-11,-8.21092640512923,9.77659236364448e-06,-4.58900152570582e-06,-9.41940117213133e-06
4.91006804921528e-05,4.22735660690799e-05,-0.000698174895805861,9.69747083017044e-07,4.24384574693539e-05,1.97994683479314e-06,-8.24562920569664e-06,2.84887761859787e-11,-8.21092676073792,9.78146936266128e-06,-4.37827283151162e-06,-9.40960736412911e-06
4.83579196677908e-05,4.20507149955307e-05,-0.000690884641878088,9.57712190648283e-07,4.30015601977656e-05,2.02247145187172e-06,-8.24562922515736e-06,2.89912289684721e-11,-8.21092696905839,9.78628867408223e-06,-4.16466116550583e-06,-9.39959852373681e-06
4.75686011845152e-05,4.17930940421788e-05,-0.000683260322496515,9.44749170464555e-07,4.35376157018097e-05,2.06402074509855e-06,-8.2456292448571e-06,2.9493238477564e-11,-8.2109270294042,9.79104544607442e-06,-3.94830159953334e-06,-9.3893794280877e-06
4.67338224550995e-05,4.1501616665772e-05,-0.000675329372580975,9.30943498119765e-07,4.40466042982788e-05,2.10455614735274e-06,-8.24562926479012e-06,2.99948041027854e-11,-8.21092694106722,9.79573525116286e-06,-3.72932944106372e-06,-9.37895505232262e-06
4.58546659190978e-05,4.1177228068202e-05,-0.000667118784091678,9.1638159193811e-07,4.45285594629737e-05,2.14404115581041e-06,-8.24562928495068e-06,3.04959252012256e-11,-8.21092670331983,9.80035409174523e-06,-3.50787996220183e-06,-9.36833055927431e-06
4.493219753093e-05,4.08209034482505e-05,-0.000658655070360328,9.01150471365094e-07,4.49835657622471e-05,2.18244133120368e-06,-8.245629305333e-06,3.09966011124374e-11,-8.21092631541711,9.80489840395167e-06,-3.28408813907581e-06,-9.35751128916146e-06
4.39674653496512e-05,4.04336462332933e-05,-0.000649964232671986,8.85337469093036e-07,4.54117567521951e-05,2.21972429187261e-06,-8.24562932593134e-06,3.14968311414292e-11,-8.21092577659893,9.80936505991049e-06,-3.05808840162002e-06,-9.34650274927203e-06
4.29614981965649e-05,4.00164863195748e-05,-0.000641071729426553,8.69029903238241e-07,4.58133128637322e-05,2.2558597158839e-06,-8.24562934673991e-06,3.19966145700117e-11,-8.21092508609201,9.8137513685277e-06,-2.83001439391539e-06,-9.33531060366567e-06
4.19153044168232e-05,3.95704783031257e-05,-0.000632002447043107,8.52314814624507e-07,4.61884592740658e-05,2.29081933084306e-06,-8.24562936775291e-06,3.24959506686802e-11,-8.21092424311197,9.81805507472233e-06,-2.59999874512451e-06,-9.32394066289654e-06
